lang,tech,operation,concurrency,requests,errors,throughput,avg_ms,p50_ms,p95_ms
Python,REST,listMusics,10,1005,0,198.63341396846494,50.06653800761948,50.16069998964667,55.793299921788275
Python,REST,listMusics,50,1046,0,194.33124969274914,248.538306023459,251.7636000411585,272.9659000178799
Python,REST,listMusics,100,1121,0,193.36821873015032,482.0336400510255,503.580900025554,602.261699968949
Python,REST,listMusics,200,1250,32,188.92721189130384,879.412369998917,565.545600024052,2409.551199991256
Python,REST,musicsByPlaylist,10,1620,0,321.0524050231455,31.039158827883917,30.278700054623187,35.47589993104339
Python,REST,musicsByPlaylist,50,1733,0,326.38245428709996,148.9391042690362,149.4914999930188,165.78819998539984
Python,REST,musicsByPlaylist,100,1828,0,325.4186752505192,290.7991063449541,303.5306999227032,327.94809993356466
Python,REST,musicsByPlaylist,200,1990,0,307.109921866593,581.8397621608962,348.3003000728786,1433.8706000708044
Python,GraphQL,listMusics,10,106,0,18.800936237185947,500.8405528255334,381.3180999131873,1396.6046000132337
Python,GraphQL,listMusics,50,127,71,17.859639239039023,1204.5517378022864,982.8221999341622,2530.436999979429
Python,GraphQL,listMusics,100,149,214,19.843501098692656,1202.3536744972866,998.3876999467611,2475.939399912022
Python,GraphQL,listMusics,200,146,510,17.884889592066223,1495.0009308251463,1482.0761000737548,2584.4325999496505
Python,GraphQL,musicsByPlaylist,10,520,1,95.34926095202856,95.43367096339352,61.698999954387546,519.8023000266403
Python,GraphQL,musicsByPlaylist,50,537,21,85.21752399853462,426.4190659222663,79.4719000114128,2079.271399998106
Python,GraphQL,musicsByPlaylist,100,617,84,92.418059819211,646.6422499186922,576.0574999731034,1706.7971000215039
Python,GraphQL,musicsByPlaylist,200,706,267,95.08212489605697,921.4765650174704,667.126200045459,2134.2333999928087
Python,gRPC,listMusics,10,1189,0,234.61897956601467,42.345750377759416,42.33059997204691,61.803200049325824
Python,gRPC,listMusics,50,1060,0,197.4774417858303,244.69432132000122,268.9255999866873,295.31189997214824
Python,gRPC,listMusics,100,1125,0,194.92679537367482,479.1865826674427,530.8209999930114,566.8154000304639
Python,gRPC,listMusics,200,1282,0,197.42302280772583,892.9531082682392,1036.9453000603244,1119.0083000110462
Python,gRPC,musicsByPlaylist,10,8068,0,1603.7391851024668,6.216730924812526,5.313399946317077,13.797700055874884
Python,gRPC,musicsByPlaylist,50,9925,0,1950.5831693645575,25.411224453088355,24.52520001679659,30.657599912956357
Python,gRPC,musicsByPlaylist,100,10483,0,2000.088795327015,48.772778832649934,48.90589998103678,52.96260002069175
Python,gRPC,musicsByPlaylist,200,10901,0,2027.0072261801358,95.08800003661801,97.65720006544143,101.36380000039935
Python,SOAP,listMusics,10,36,0,5.680639467051741,1633.9029638814584,1591.247700038366,2311.8376000784338
Python,SOAP,listMusics,50,51,98,6.895913234381702,2074.111117652672,2131.8701999261975,3049.2676000576466
Python,SOAP,listMusics,100,47,241,5.731222609408142,2700.0602680689435,2872.881400049664,4130.629399907775
Python,SOAP,listMusics,200,49,547,5.43614972557091,2987.5656326624508,2863.891600049101,4363.815999939106
Python,SOAP,musicsByPlaylist,10,466,0,85.72580377283393,110.8261467816504,92.9936000611633,170.89730000589043
Python,SOAP,musicsByPlaylist,50,1584,24,273.1821294384317,136.1769476007068,22.875300026498735,706.3794999849051
Python,SOAP,musicsByPlaylist,100,906,101,0.3763431979247209,151449.710893708,51.80600006133318,2401056.7935999716
Python,SOAP,musicsByPlaylist,200,1045,219,148.12905700823222,698.9933963635553,560.6697000330314,2116.694899974391
Node,REST,listMusics,10,842,0,133.99547041095664,68.52793194712504,57.74829990696162,166.35640000458807
Node,REST,listMusics,50,1712,0,271.70040332607147,165.84700175171238,148.1669000349939,301.0470001026988
Node,REST,listMusics,100,2021,0,333.6268016598481,273.5393531412556,271.5238999808207,430.22850004490465
Node,REST,listMusics,200,4862,0,303.3555831948303,421.7285257706216,449.1895999526605,698.0469999834895
Node,REST,musicsByPlaylist,10,2643,0,519.9156001743573,19.139580703583608,17.779499990865588,33.26049994211644
